geoid,0,1,2
14000US34035050400,1.0,1.0,1.0
14000US36005018900,9.0,10.0,7.0
14000US36119002404,9.0,10.0,7.0
14000US36047081000,12.0,29.0,11.0
14000US36005040501,13.0,8.0,29.0
14000US36027140101,9.0,10.0,7.0
14000US34027041801,1.0,1.0,1.0
14000US34039032500,1.0,1.0,1.0
14000US34003004001,1.0,1.0,1.0
14000US34031181100,1.0,1.0,1.0
14000US34031181400,1.0,1.0,1.0
14000US36103158322,10.0,2.0,9.0
14000US36103158320,10.0,2.0,9.0
14000US34013014700,1.0,1.0,1.0
14000US34039037500,1.0,1.0,1.0
14000US34017018301,1.0,1.0,1.0
14000US36047074200,14.0,30.0,32.0
14000US34025804800,1.0,1.0,1.0
14000US34039037602,1.0,1.0,1.0
14000US36061002100,10.0,6.0,9.0
14000US36085025100,6.0,6.0,8.0
14000US36059519300,10.0,2.0,9.0
14000US36061013400,2.0,2.0,2.0
14000US36061008603,9.0,10.0,7.0
14000US36047012100,2.0,2.0,2.0
14000US36061019100,8.0,13.0,2.0
14000US36085005000,6.0,6.0,8.0
14000US36085014700,6.0,6.0,8.0
14000US36103122300,10.0,2.0,9.0
14000US36103122502,10.0,2.0,9.0
14000US36081021600,2.0,2.0,2.0
14000US34039033000,1.0,1.0,1.0
14000US34025811200,1.0,1.0,1.0
14000US34013017302,1.0,1.0,1.0
14000US36047049700,2.0,2.0,2.0
14000US36061018900,13.0,13.0,14.0
14000US36081006202,10.0,12.0,9.0
14000US36081062500,10.0,12.0,9.0
14000US34035053200,1.0,1.0,1.0
14000US34023001805,1.0,1.0,1.0
14000US36061024100,2.0,2.0,2.0
14000US34025806503,1.0,1.0,1.0
14000US36061002900,34.0,15.0,33.0
14000US36047016100,2.0,2.0,2.0
14000US36061022400,2.0,2.0,2.0
14000US36081058900,2.0,2.0,2.0
14000US36119001700,9.0,10.0,7.0
14000US36103158506,10.0,2.0,9.0
14000US36061009500,10.0,31.0,33.0
14000US36061014500,35.0,6.0,30.0
14000US34035053705,1.0,1.0,1.0
14000US36085017007,6.0,6.0,8.0
14000US36085010500,6.0,6.0,8.0
14000US36047049300,2.0,2.0,2.0
14000US34023000404,1.0,1.0,1.0
14000US36005035600,2.0,2.0,2.0
14000US36071012800,9.0,10.0,7.0
14000US36071013500,9.0,10.0,7.0
14000US34027042600,1.0,1.0,1.0
14000US36047004100,2.0,2.0,2.0
14000US36061005000,34.0,32.0,27.0
14000US34025801400,1.0,1.0,1.0
14000US36103123401,10.0,2.0,9.0
14000US36059518400,10.0,2.0,9.0
14000US36103112103,1.0,2.0,1.0
14000US34031181900,1.0,1.0,1.0
14000US34031124402,1.0,1.0,1.0
14000US36047049900,2.0,2.0,2.0
14000US36061005800,1.0,1.0,1.0
14000US36047007500,2.0,2.0,2.0
14000US36119005902,9.0,10.0,7.0
14000US36103110102,10.0,2.0,9.0
14000US34023002000,1.0,1.0,1.0
14000US36071011101,9.0,10.0,7.0
14000US36071001600,9.0,10.0,7.0
14000US34013017200,1.0,1.0,1.0
14000US34003023401,1.0,1.0,1.0
14000US34013017900,1.0,1.0,1.0
14000US34013009100,1.0,1.0,1.0
14000US34017017300,1.0,1.0,1.0
14000US36061016300,2.0,2.0,2.0
14000US36047057100,2.0,2.0,2.0
14000US34013006600,1.0,1.0,1.0
14000US34013005000,1.0,1.0,1.0
14000US36061003100,2.0,2.0,2.0
14000US36103159601,2.0,2.0,2.0
14000US36005046201,16.0,8.0,5.0
14000US36005012701,9.0,10.0,7.0
14000US34013002400,1.0,1.0,1.0
14000US34039032400,1.0,1.0,1.0
14000US36081073900,2.0,2.0,2.0
14000US36119008901,9.0,10.0,7.0
14000US34023000801,1.0,1.0,1.0
